NodeName,NodePurpose,Node Instance,xName,Rack Number,uPos,Cluster Admin IPv6,Cluster Admin Network,"iDrac Network (iDrac)",iDrac Network (Local),InfiniBand (Public),InfiniBand ib0 (Private),InfiniBand ib0 #2(Private),InfiniBand ib1 (Public),InfiniBand ib1 (Private),InfiniBand ib1 #2(Private),Switch Management Network,Cluster Admin Network #2,Cluster Admin Network #3,Cluster Admin Network #4,Switch Management Network #2,PowerScale Admin Network #1,PowerScale Admin Network #2,PowerScale Admin Network #3,PowerScale Admin Network #4,PowerScale Storage Network #1,PowerScale Storage Network #2,PowerScale Storage Network #3,PowerScale Storage Network #4,Side Door Network,Monitoring Network,Border Leaf Network,Infrastructure Network,iSCSI Network,Notes,
cech-wen1,wen,1,x7001c0s34b0n0,x7001,34,,10.40.1.36,10.41.1.36,,128.55.134.76,10.45.1.36,,128.55.134.202,10.45.1.136,,,,,, ,,,,,,,,,,,,,,,
cech-pscale1,pscale,1,x7001c0s13b0n0,x7001,13,,10.40.1.23, , , , ,,, ,, ,10.40.1.73,10.40.1.138,10.40.1.203,,10.46.1.201,10.46.1.202,10.46.1.203,10.46.1.204,10.44.1.23,10.44.1.73,10.44.1.138,10.44.1.203,,,,,,,
cech-ethMgmt1,ethMgmt,1,x7001c0s24w0,x7001,24,,,,,,,,,,,10.43.1.24,,,,,,,,,,,,,,,,,,,
cech-ethLeaf2,ethLeaf,2,x7001c0s22w0,x7001,22,,,,,,,,,,,10.43.1.25,,,,,,,,,,,,,,,,,,,
cech-ethSpine1,ethSpine,1,x7001c0s42w0,x7001,42,,,,,,,,,,,10.43.1.26,,,,,,,,,,,,,,,,,,,
cech-pvault1a,pvault,1a,x7001c0s20b0n0,x7001,20,,10.40.1.27, , , , ,,, ,, ,10.40.1.77,10.40.1.142,10.40.1.207,,10.46.1.27,10.46.1.77,10.46.1.142,10.46.1.207,10.44.1.27,10.44.1.77,10.44.1.142,10.44.1.207,,,,,10.53.1.28,,
cech-pvault1b,pvault,1b,x7001c0s20b0n0,x7001,20,,10.40.1.28, , , , ,,, ,, ,10.40.1.78,10.40.1.143,10.40.1.208,,10.46.1.28,10.46.1.78,10.46.1.143,10.46.1.208,10.44.1.28,10.44.1.78,10.44.1.143,10.44.1.208,,,,,10.53.1.29,,
cech-r2ibleaf1,r2ibleaf,1,x7001c0s26w0,x7001,26,,,10.41.1.29,,,,,,,,10.43.1.29,,,,,,,,,,,,,,,,,,,
cech-r2ibspine1,r2ibspine,1,x7001c0s43w0,x7001,43,,,10.41.1.30,,,,,,,,10.43.1.30,,,,,,,,,,,,,,,,,,,
cech-cdu1,cdu,1,x7001c0s43d0,x7001,43,,,10.41.1.31,,,,,,,,10.43.1.31,,,,,,,,,,,,,,,,10.52.1.32,,,
cech-ufm1,ufm,1,x7001c0s33b0n0,x7001,33,,10.40.1.21,10.41.1.21,,128.55.134.77,10.45.1.21,,128.55.134.203,10.45.1.121,,10.43.1.21,,,,10.43.1.83,,,,,,,,,,128.55.168.45,128.55.168.12,10.52.1.33,,,
cech-skyway1,skyway,1,x7001c0s36b0n0,x7001,36,, , ,,128.55.134.78,10.45.1.29,,128.55.134.204, ,,10.43.1.120,,,,10.43.1.84,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cech-ethLeaf1,ethLeaf,1,x7000c0s22w0,x7000,22,,,,,,,,,,,10.43.0.16,,,,,,,,,,,,,,,,,,,
nid7001,compute, ,x7000c0s1b0n0,x7000,1,,10.40.0.16,10.41.0.16,,128.55.134.91,10.45.0.16,,128.55.134.217,10.45.0.116,,,,,,,,,,,,,,,,,,,,,nid1
nid7002,compute, ,x7000c0s2b0n0,x7000,2,,10.40.0.17,10.41.0.17,,128.55.134.92,10.45.0.17,,128.55.134.218,10.45.0.117,,,,,,,,,,,,,,,,,,,,,
nid7003,compute, ,x7000c0s4b0n0,x7000,4,,10.40.0.18,10.41.0.18,,128.55.134.93,10.45.0.18,,128.55.134.219,10.45.0.118,,,,,,,,,,,,,,,,,,,,,
nid7004,compute, ,x7000c0s5b0n0,x7000,5,,10.40.0.19,10.41.0.19,,128.55.134.94,10.45.0.19,,128.55.134.220,10.45.0.119,,,,,,,,,,,,,,,,,,,,,
nid7005,compute, ,x7000c0s6b0n0,x7000,6,,10.40.0.20,10.41.0.20,,128.55.134.95,10.45.0.20,,128.55.134.221,10.45.0.120,,,,,,,,,,,,,,,,,,,,,
nid7006,compute, ,x7000c0s7b0n0,x7000,7,,10.40.0.21,10.41.0.21,,128.55.134.96,10.45.0.21,,128.55.134.222,10.45.0.121,,,,,,,,,,,,,,,,,,,,,
nid7007,compute, ,x7000c0s11b0n0,x7000,11,,10.40.0.22,10.41.0.22,,128.55.134.97,10.45.0.22,,128.55.134.223,10.45.0.122,,,,,,,,,,,,,,,,,,,,,
nid7008,compute, ,x7000c0s12b0n0,x7000,12,,10.40.0.23,10.41.0.23,,128.55.134.98,10.45.0.23,,128.55.134.224,10.45.0.123,,,,,,,,,,,,,,,,,,,,,
nid7009,compute, ,x7000c0s13b0n0,x7000,13,,10.40.0.24,10.41.0.24,,128.55.134.99,10.45.0.24,,128.55.134.225,10.45.0.124,,,,,,,,,,,,,,,,,,,,,
nid7010,compute, ,x7000c0s14b0n0,x7000,14,,10.40.0.25,10.41.0.25,,128.55.134.100,10.45.0.25,,128.55.134.226,10.45.0.125,,,,,,,,,,,,,,,,,,,,,
